id	kind	sr	f0	duty_or_u	res_base_db	res_cand_db	dres_db	res1k5k_base_db	res1k5k_cand_db	dres1k5k_db	reseffbd_base_db	reseffbd_cand_db	dreseffbd_db	dfloor_db	dharm_db	dA	dfund	ddc	refconv_base_db	refconv_cand_db	drefconv_db	res1k5k2L_base_db	res1k5k2L_cand_db	dres1k5k2L_db	reseffbd2L_base_db	reseffbd2L_cand_db	dreseffbd2L_db
vco_a_pulse_44100_220_pw10	static	44100	220	0.100	-23.88	-31.43	-7.55	-26.73	-46.90	-20.17	-23.89	-31.42	-7.53	-8.42	+19.63	-0.00150	+0.00000	-0.00001	-	-	-	-	-	-	-	-	-
vco_a_pulse_44100_220_pw50	static	44100	220	0.500	-23.89	-31.41	-7.52	-31.12	-48.44	-17.32	-23.89	-31.42	-7.53	-8.47	+19.64	-0.00150	+0.00000	+0.00004	-	-	-	-	-	-	-	-	-
vco_a_pulse_44100_220_pw90	static	44100	220	0.900	-23.87	-31.43	-7.56	-26.72	-46.90	-20.18	-23.89	-31.42	-7.53	-8.42	+19.63	-0.00150	-0.00010	+0.00001	-	-	-	-	-	-	-	-	-
vco_a_pulse_44100_440_pw10	static	44100	440	0.100	-20.88	-28.44	-7.56	-23.68	-45.67	-21.99	-20.88	-28.45	-7.57	-8.41	+25.64	-0.00300	-0.00010	-0.00001	-	-	-	-	-	-	-	-	-
vco_a_pulse_44100_440_pw50	static	44100	440	0.500	-20.88	-28.43	-7.55	-27.93	-43.73	-15.80	-20.87	-28.42	-7.55	-8.45	+25.64	-0.00300	-0.00030	+0.00002	-	-	-	-	-	-	-	-	-
vco_a_pulse_44100_440_pw90	static	44100	440	0.900	-20.88	-28.45	-7.57	-23.67	-45.67	-22.00	-20.88	-28.45	-7.57	-8.41	+25.64	-0.00300	-0.00010	+0.00001	-	-	-	-	-	-	-	-	-
vco_a_pulse_44100_880_pw10	static	44100	880	0.100	-17.98	-25.14	-7.16	-19.37	-39.74	-20.37	-17.97	-25.14	-7.17	-8.75	+31.57	-0.00630	-0.00020	-0.00002	-	-	-	-	-	-	-	-	-
vco_a_pulse_44100_880_pw50	static	44100	880	0.500	-18.02	-25.25	-7.23	-24.67	-38.98	-14.31	-18.01	-25.24	-7.23	-9.75	+31.67	-0.00630	-0.00090	-0.00004	-	-	-	-	-	-	-	-	-
vco_a_pulse_44100_880_pw90	static	44100	880	0.900	-17.98	-25.14	-7.16	-19.37	-39.74	-20.37	-17.97	-25.14	-7.17	-8.75	+31.57	-0.00630	-0.00030	+0.00002	-	-	-	-	-	-	-	-	-
vco_a_pulse_48000_220_pw10	static	48000	220	0.100	-24.19	-31.70	-7.51	-27.31	-48.22	-20.91	-24.26	-31.74	-7.48	-8.73	+16.47	-0.00140	+0.00000	+0.00003	-	-	-	-	-	-	-	-	-
