plan_rev	1
block	id
static	vco_a_pulse_44100_220_pw10
static	vco_a_pulse_44100_220_pw50
static	vco_a_pulse_44100_220_pw90
static	vco_a_pulse_44100_440_pw10
static	vco_a_pulse_44100_440_pw50
static	vco_a_pulse_44100_440_pw90
static	vco_a_pulse_44100_880_pw10
static	vco_a_pulse_44100_880_pw50
static	vco_a_pulse_44100_880_pw90
static	vco_a_pulse_48000_220_pw10
static	vco_a_pulse_48000_220_pw50
static	vco_a_pulse_48000_220_pw90
static	vco_a_pulse_48000_440_pw10
static	vco_a_pulse_48000_440_pw50
static	vco_a_pulse_48000_440_pw90
static	vco_a_pulse_48000_880_pw10
static	vco_a_pulse_48000_880_pw50
static	vco_a_pulse_48000_880_pw90
static	vco_a_pulse_88200_220_pw10
static	vco_a_pulse_88200_220_pw50
static	vco_a_pulse_88200_220_pw90
static	vco_a_pulse_88200_440_pw10
static	vco_a_pulse_88200_440_pw50
static	vco_a_pulse_88200_440_pw90
static	vco_a_pulse_88200_880_pw10
static	vco_a_pulse_88200_880_pw50
static	vco_a_pulse_88200_880_pw90
static	vco_a_pulse_96000_220_pw10
static	vco_a_pulse_96000_220_pw50
static	vco_a_pulse_96000_220_pw90
static	vco_a_pulse_96000_440_pw10
static	vco_a_pulse_96000_440_pw50
static	vco_a_pulse_96000_440_pw90
static	vco_a_pulse_96000_880_pw10
static	vco_a_pulse_96000_880_pw50
static	vco_a_pulse_96000_880_pw90
static	vco_b_pulse_44100_220_pw10
static	vco_b_pulse_44100_220_pw50
static	vco_b_pulse_44100_220_pw90
static	vco_b_pulse_44100_440_pw10
static	vco_b_pulse_44100_440_pw50
static	vco_b_pulse_44100_440_pw90
static	vco_b_pulse_44100_880_pw10
static	vco_b_pulse_44100_880_pw50
static	vco_b_pulse_44100_880_pw90
static	vco_b_pulse_48000_220_pw10
static	vco_b_pulse_48000_220_pw50
static	vco_b_pulse_48000_220_pw90
static	vco_b_pulse_48000_440_pw10
static	vco_b_pulse_48000_440_pw50
static	vco_b_pulse_48000_440_pw90
static	vco_b_pulse_48000_880_pw10
static	vco_b_pulse_48000_880_pw50
static	vco_b_pulse_48000_880_pw90
static	vco_b_pulse_88200_220_pw10
static	vco_b_pulse_88200_220_pw50
static	vco_b_pulse_88200_220_pw90
static	vco_b_pulse_88200_440_pw10
static	vco_b_pulse_88200_440_pw50
static	vco_b_pulse_88200_440_pw90
static	vco_b_pulse_88200_880_pw10
static	vco_b_pulse_88200_880_pw50
static	vco_b_pulse_88200_880_pw90
static	vco_b_pulse_96000_220_pw10
static	vco_b_pulse_96000_220_pw50
static	vco_b_pulse_96000_220_pw90
static	vco_b_pulse_96000_440_pw10
static	vco_b_pulse_96000_440_pw50
static	vco_b_pulse_96000_440_pw90
static	vco_b_pulse_96000_880_pw10
static	vco_b_pulse_96000_880_pw50
static	vco_b_pulse_96000_880_pw90
static	vco_a_pulsehi_44100_3520_pw10
static	vco_a_pulsehi_44100_3520_pw50
static	vco_a_pulsehi_96000_3520_pw10
static	vco_a_pulsehi_96000_3520_pw50
static	vco_a_pulsehi_44100_5000_pw10
static	vco_a_pulsehi_44100_5000_pw50
static	vco_a_pulsehi_96000_5000_pw10
static	vco_a_pulsehi_96000_5000_pw50
mixed	vco_a_ringmix_44100_440_pw050_m81250
mixed	vco_a_ringmix_96000_440_pw050_m81250
mixed	vco_a_ringmix_44100_440_pw050_m87500
mixed	vco_a_ringmix_96000_440_pw050_m87500
mixed	vco_a_ringmix_44100_440_pw050_m93750
mixed	vco_a_ringmix_96000_440_pw050_m93750
dynamic	vco_a_dynpwm_44100_220_tri_r2_b50_d50
dynamic	vco_a_dynpwm_44100_440_tri_r2_b50_d50
dynamic	vco_a_dynpwm_44100_880_tri_r2_b50_d50
dynamic	vco_a_dynpwm_96000_220_tri_r2_b50_d50
dynamic	vco_a_dynpwm_96000_440_tri_r2_b50_d50
dynamic	vco_a_dynpwm_96000_880_tri_r2_b50_d50
connect	vco_a_dynpwm_44100_440_tri_r2_b50_d50_viaConnect
dynamic	vco_a_dynpwm_44100_220_tri_r20_b50_d50
dynamic	vco_a_dynpwm_44100_440_tri_r20_b50_d50
dynamic	vco_a_dynpwm_44100_880_tri_r20_b50_d50
dynamic	vco_a_dynpwm_96000_220_tri_r20_b50_d50
dynamic	vco_a_dynpwm_96000_440_tri_r20_b50_d50
dynamic	vco_a_dynpwm_96000_880_tri_r20_b50_d50
connect	vco_a_dynpwm_44100_440_tri_r20_b50_d50_viaConnect
dynamic	vco_a_dynpwm_44100_220_tri_r2_b25_d50
dynamic	vco_a_dynpwm_44100_440_tri_r2_b25_d50
dynamic	vco_a_dynpwm_44100_880_tri_r2_b25_d50
dynamic	vco_a_dynpwm_96000_220_tri_r2_b25_d50
dynamic	vco_a_dynpwm_96000_440_tri_r2_b25_d50
dynamic	vco_a_dynpwm_96000_880_tri_r2_b25_d50
connect	vco_a_dynpwm_44100_440_tri_r2_b25_d50_viaConnect
dynamic	vco_a_dynpwm_44100_220_tri_r20_b25_d50
dynamic	vco_a_dynpwm_44100_440_tri_r20_b25_d50
dynamic	vco_a_dynpwm_44100_880_tri_r20_b25_d50
dynamic	vco_a_dynpwm_96000_220_tri_r20_b25_d50
dynamic	vco_a_dynpwm_96000_440_tri_r20_b25_d50
dynamic	vco_a_dynpwm_96000_880_tri_r20_b25_d50
connect	vco_a_dynpwm_44100_440_tri_r20_b25_d50_viaConnect
dynamic	vco_a_dynpwm_44100_220_sq_r2_b50_d50
dynamic	vco_a_dynpwm_44100_440_sq_r2_b50_d50
dynamic	vco_a_dynpwm_44100_880_sq_r2_b50_d50
dynamic	vco_a_dynpwm_96000_220_sq_r2_b50_d50
dynamic	vco_a_dynpwm_96000_440_sq_r2_b50_d50
dynamic	vco_a_dynpwm_96000_880_sq_r2_b50_d50
connect	vco_a_dynpwm_44100_440_sq_r2_b50_d50_viaConnect
dynamic	vco_b_dynpwm_44100_220_sq_r2_b50_d50
dynamic	vco_b_dynpwm_44100_880_sq_r2_b50_d50
dynamic	vco_b_dynpwm_96000_220_sq_r2_b50_d50
dynamic	vco_b_dynpwm_96000_880_sq_r2_b50_d50
dynamic	vco_a_dynpwm_44100_220_sq_r20_b50_d50
dynamic	vco_a_dynpwm_44100_440_sq_r20_b50_d50
dynamic	vco_a_dynpwm_44100_880_sq_r20_b50_d50
dynamic	vco_a_dynpwm_96000_220_sq_r20_b50_d50
dynamic	vco_a_dynpwm_96000_440_sq_r20_b50_d50
dynamic	vco_a_dynpwm_96000_880_sq_r20_b50_d50
connect	vco_a_dynpwm_44100_440_sq_r20_b50_d50_viaConnect
dynamic	vco_b_dynpwm_44100_220_sq_r20_b50_d50
dynamic	vco_b_dynpwm_44100_880_sq_r20_b50_d50
dynamic	vco_b_dynpwm_96000_220_sq_r20_b50_d50
dynamic	vco_b_dynpwm_96000_880_sq_r20_b50_d50
dynamic	vco_a_dynpwm_44100_220_tri_r20_b25_d100
dynamic	vco_a_dynpwm_44100_440_tri_r20_b25_d100
dynamic	vco_a_dynpwm_44100_880_tri_r20_b25_d100
dynamic	vco_a_dynpwm_96000_220_tri_r20_b25_d100
dynamic	vco_a_dynpwm_96000_440_tri_r20_b25_d100
dynamic	vco_a_dynpwm_96000_880_tri_r20_b25_d100
connect	vco_a_dynpwm_44100_440_tri_r20_b25_d100_viaConnect
dynamic	vco_a_dynpwm_44100_220_sq_r20_b25_d100
dynamic	vco_a_dynpwm_44100_440_sq_r20_b25_d100
dynamic	vco_a_dynpwm_44100_880_sq_r20_b25_d100
dynamic	vco_a_dynpwm_96000_220_sq_r20_b25_d100
dynamic	vco_a_dynpwm_96000_440_sq_r20_b25_d100
dynamic	vco_a_dynpwm_96000_880_sq_r20_b25_d100
connect	vco_a_dynpwm_44100_440_sq_r20_b25_d100_viaConnect
ab_asymmetry	vco_b_dynpwm_44100_220_sq_r20_b50_d50_unpatched_under_a_cable
ab_asymmetry	vco_b_dynpwm_44100_880_sq_r20_b50_d50_unpatched_under_a_cable
