plan_rev	1
block	id
sawmix_a	vco_a_sawmix_44100_220_m0
sawmix_a	vco_a_sawmix_44100_440_m0
sawmix_a	vco_a_sawmix_44100_880_m0
sawmix_a	vco_a_sawmix_48000_220_m0
sawmix_a	vco_a_sawmix_48000_440_m0
sawmix_a	vco_a_sawmix_48000_880_m0
sawmix_a	vco_a_sawmix_88200_220_m0
sawmix_a	vco_a_sawmix_88200_440_m0
sawmix_a	vco_a_sawmix_88200_880_m0
sawmix_a	vco_a_sawmix_96000_220_m0
sawmix_a	vco_a_sawmix_96000_440_m0
sawmix_a	vco_a_sawmix_96000_880_m0
sawmix_a	vco_a_sawmix_44100_220_m6250
sawmix_a	vco_a_sawmix_44100_440_m6250
sawmix_a	vco_a_sawmix_44100_880_m6250
sawmix_a	vco_a_sawmix_48000_220_m6250
sawmix_a	vco_a_sawmix_48000_440_m6250
sawmix_a	vco_a_sawmix_48000_880_m6250
sawmix_a	vco_a_sawmix_88200_220_m6250
sawmix_a	vco_a_sawmix_88200_440_m6250
sawmix_a	vco_a_sawmix_88200_880_m6250
sawmix_a	vco_a_sawmix_96000_220_m6250
sawmix_a	vco_a_sawmix_96000_440_m6250
sawmix_a	vco_a_sawmix_96000_880_m6250
sawmix_a	vco_a_sawmix_44100_220_m18750
sawmix_a	vco_a_sawmix_44100_440_m18750
sawmix_a	vco_a_sawmix_44100_880_m18750
sawmix_a	vco_a_sawmix_48000_220_m18750
sawmix_a	vco_a_sawmix_48000_440_m18750
sawmix_a	vco_a_sawmix_48000_880_m18750
sawmix_a	vco_a_sawmix_88200_220_m18750
sawmix_a	vco_a_sawmix_88200_440_m18750
sawmix_a	vco_a_sawmix_88200_880_m18750
sawmix_a	vco_a_sawmix_96000_220_m18750
sawmix_a	vco_a_sawmix_96000_440_m18750
sawmix_a	vco_a_sawmix_96000_880_m18750
sawmix_a	vco_a_sawmix_44100_220_m25000
sawmix_a	vco_a_sawmix_44100_440_m25000
sawmix_a	vco_a_sawmix_44100_880_m25000
sawmix_a	vco_a_sawmix_48000_220_m25000
sawmix_a	vco_a_sawmix_48000_440_m25000
sawmix_a	vco_a_sawmix_48000_880_m25000
sawmix_a	vco_a_sawmix_88200_220_m25000
sawmix_a	vco_a_sawmix_88200_440_m25000
sawmix_a	vco_a_sawmix_88200_880_m25000
sawmix_a	vco_a_sawmix_96000_220_m25000
sawmix_a	vco_a_sawmix_96000_440_m25000
sawmix_a	vco_a_sawmix_96000_880_m25000
sawmix_b	vco_a_sawmix_44100_440_m31250
sawmix_b	vco_a_sawmix_48000_440_m31250
sawmix_b	vco_a_sawmix_88200_440_m31250
sawmix_b	vco_a_sawmix_96000_440_m31250
sawmix_b	vco_a_sawmix_44100_440_m37500
sawmix_b	vco_a_sawmix_48000_440_m37500
sawmix_b	vco_a_sawmix_88200_440_m37500
sawmix_b	vco_a_sawmix_96000_440_m37500
sawmix_b	vco_a_sawmix_44100_440_m43750
sawmix_b	vco_a_sawmix_48000_440_m43750
sawmix_b	vco_a_sawmix_88200_440_m43750
sawmix_b	vco_a_sawmix_96000_440_m43750
sawmix_eq	vco_a_sawmix_44100_440_m12500
sawmix_eq	vco_a_sawmix_48000_440_m12500
sawmix_eq	vco_a_sawmix_88200_440_m12500
sawmix_eq	vco_a_sawmix_96000_440_m12500
sawmix_eq	vco_a_sawmix_44100_440_m50000
sawmix_eq	vco_a_sawmix_48000_440_m50000
sawmix_eq	vco_a_sawmix_88200_440_m50000
sawmix_eq	vco_a_sawmix_96000_440_m50000
sawmix_hi	vco_a_sawmixhi_44100_3520_m0
sawmix_hi	vco_a_sawmixhi_44100_5000_m0
sawmix_hi	vco_a_sawmixhi_96000_3520_m0
sawmix_hi	vco_a_sawmixhi_96000_5000_m0
sawmix_hi	vco_a_sawmixhi_44100_3520_m6250
sawmix_hi	vco_a_sawmixhi_44100_5000_m6250
sawmix_hi	vco_a_sawmixhi_96000_3520_m6250
sawmix_hi	vco_a_sawmixhi_96000_5000_m6250
sawmix_hi	vco_a_sawmixhi_44100_3520_m25000
sawmix_hi	vco_a_sawmixhi_44100_5000_m25000
sawmix_hi	vco_a_sawmixhi_96000_3520_m25000
sawmix_hi	vco_a_sawmixhi_96000_5000_m25000
sawmix_hi	vco_a_sawmixhi_44100_3520_m31250
sawmix_hi	vco_a_sawmixhi_44100_5000_m31250
sawmix_hi	vco_a_sawmixhi_96000_3520_m31250
sawmix_hi	vco_a_sawmixhi_96000_5000_m31250
sawmix_a	vco_b_sawmix_44100_220_m0
sawmix_a	vco_b_sawmix_44100_440_m0
sawmix_a	vco_b_sawmix_44100_880_m0
sawmix_a	vco_b_sawmix_48000_220_m0
sawmix_a	vco_b_sawmix_48000_440_m0
sawmix_a	vco_b_sawmix_48000_880_m0
sawmix_a	vco_b_sawmix_88200_220_m0
sawmix_a	vco_b_sawmix_88200_440_m0
sawmix_a	vco_b_sawmix_88200_880_m0
sawmix_a	vco_b_sawmix_96000_220_m0
sawmix_a	vco_b_sawmix_96000_440_m0
sawmix_a	vco_b_sawmix_96000_880_m0
sawmix_a	vco_b_sawmix_44100_220_m6250
sawmix_a	vco_b_sawmix_44100_440_m6250
sawmix_a	vco_b_sawmix_44100_880_m6250
sawmix_a	vco_b_sawmix_48000_220_m6250
sawmix_a	vco_b_sawmix_48000_440_m6250
sawmix_a	vco_b_sawmix_48000_880_m6250
sawmix_a	vco_b_sawmix_88200_220_m6250
sawmix_a	vco_b_sawmix_88200_440_m6250
sawmix_a	vco_b_sawmix_88200_880_m6250
sawmix_a	vco_b_sawmix_96000_220_m6250
sawmix_a	vco_b_sawmix_96000_440_m6250
sawmix_a	vco_b_sawmix_96000_880_m6250
sawmix_a	vco_b_sawmix_44100_220_m18750
sawmix_a	vco_b_sawmix_44100_440_m18750
sawmix_a	vco_b_sawmix_44100_880_m18750
sawmix_a	vco_b_sawmix_48000_220_m18750
sawmix_a	vco_b_sawmix_48000_440_m18750
sawmix_a	vco_b_sawmix_48000_880_m18750
sawmix_a	vco_b_sawmix_88200_220_m18750
sawmix_a	vco_b_sawmix_88200_440_m18750
sawmix_a	vco_b_sawmix_88200_880_m18750
sawmix_a	vco_b_sawmix_96000_220_m18750
sawmix_a	vco_b_sawmix_96000_440_m18750
sawmix_a	vco_b_sawmix_96000_880_m18750
sawmix_a	vco_b_sawmix_44100_220_m25000
sawmix_a	vco_b_sawmix_44100_440_m25000
sawmix_a	vco_b_sawmix_44100_880_m25000
sawmix_a	vco_b_sawmix_48000_220_m25000
sawmix_a	vco_b_sawmix_48000_440_m25000
sawmix_a	vco_b_sawmix_48000_880_m25000
sawmix_a	vco_b_sawmix_88200_220_m25000
sawmix_a	vco_b_sawmix_88200_440_m25000
sawmix_a	vco_b_sawmix_88200_880_m25000
sawmix_a	vco_b_sawmix_96000_220_m25000
sawmix_a	vco_b_sawmix_96000_440_m25000
sawmix_a	vco_b_sawmix_96000_880_m25000
sawmix_b	vco_b_sawmix_44100_440_m31250
sawmix_b	vco_b_sawmix_48000_440_m31250
sawmix_b	vco_b_sawmix_88200_440_m31250
sawmix_b	vco_b_sawmix_96000_440_m31250
sawmix_b	vco_b_sawmix_44100_440_m37500
sawmix_b	vco_b_sawmix_48000_440_m37500
sawmix_b	vco_b_sawmix_88200_440_m37500
sawmix_b	vco_b_sawmix_96000_440_m37500
sawmix_b	vco_b_sawmix_44100_440_m43750
sawmix_b	vco_b_sawmix_48000_440_m43750
sawmix_b	vco_b_sawmix_88200_440_m43750
sawmix_b	vco_b_sawmix_96000_440_m43750
sawmix_eq	vco_b_sawmix_44100_440_m12500
sawmix_eq	vco_b_sawmix_48000_440_m12500
sawmix_eq	vco_b_sawmix_88200_440_m12500
sawmix_eq	vco_b_sawmix_96000_440_m12500
sawmix_eq	vco_b_sawmix_44100_440_m50000
sawmix_eq	vco_b_sawmix_48000_440_m50000
sawmix_eq	vco_b_sawmix_88200_440_m50000
sawmix_eq	vco_b_sawmix_96000_440_m50000
sawmix_hi	vco_b_sawmixhi_44100_3520_m0
sawmix_hi	vco_b_sawmixhi_44100_5000_m0
sawmix_hi	vco_b_sawmixhi_96000_3520_m0
sawmix_hi	vco_b_sawmixhi_96000_5000_m0
sawmix_hi	vco_b_sawmixhi_44100_3520_m6250
sawmix_hi	vco_b_sawmixhi_44100_5000_m6250
sawmix_hi	vco_b_sawmixhi_96000_3520_m6250
sawmix_hi	vco_b_sawmixhi_96000_5000_m6250
sawmix_hi	vco_b_sawmixhi_44100_3520_m25000
sawmix_hi	vco_b_sawmixhi_44100_5000_m25000
sawmix_hi	vco_b_sawmixhi_96000_3520_m25000
sawmix_hi	vco_b_sawmixhi_96000_5000_m25000
sawmix_hi	vco_b_sawmixhi_44100_3520_m31250
sawmix_hi	vco_b_sawmixhi_44100_5000_m31250
sawmix_hi	vco_b_sawmixhi_96000_3520_m31250
sawmix_hi	vco_b_sawmixhi_96000_5000_m31250
