id	path	sr	f0_target	f0_refined	aliasA_full(dB)	aliasA_inband(dB)	N	periods	gap	aliasB_inband(dB)	note
vco_a_tri_44100_220	vco_a_tri	44100	220	220.00	-67.54	-77.98	15435	77	0.0000	-78.0	tri(cross-check)
vco_a_tri_44100_440	vco_a_tri	44100	440	440.00	-58.81	-68.75	15435	154	0.0000	-68.7	tri(cross-check)
vco_a_tri_44100_880	vco_a_tri	44100	880	880.00	-49.26	-59.70	15435	308	0.0000	-59.6	tri(cross-check)
vco_a_tri_48000_220	vco_a_tri	48000	220	220.00	-68.44	-79.35	14400	66	0.0000	-79.6	tri(cross-check)
vco_a_tri_48000_440	vco_a_tri	48000	440	440.00	-59.65	-70.66	15600	143	0.0000	-70.9	tri(cross-check)
vco_a_tri_48000_880	vco_a_tri	48000	880	880.00	-50.15	-60.85	16200	297	0.0000	-61.1	tri(cross-check)
vco_a_tri_88200_220	vco_a_tri	88200	220	220.00	-76.45	-90.03	13230	33	0.0000	-90.3	tri(cross-check)
vco_a_tri_88200_440	vco_a_tri	88200	440	440.00	-67.54	-81.32	15435	77	0.0000	-81.3	tri(cross-check)
vco_a_tri_88200_880	vco_a_tri	88200	880	879.99	-58.81	-71.88	15435	154	0.0000	-71.8	tri(cross-check)
vco_a_tri_96000_220	vco_a_tri	96000	220	219.98	-77.59	-91.36	14400	33	0.0001	-91.6	tri(cross-check)
vco_a_tri_96000_440	vco_a_tri	96000	440	440.00	-68.44	-82.11	14400	66	0.0000	-82.4	tri(cross-check)
vco_a_tri_96000_880	vco_a_tri	96000	880	880.00	-59.65	-74.63	15600	143	0.0000	-75.0	tri(cross-check)
drone1_gn1_44100_t20	drone1_gn1	44100	0	289.44	-0.10	-4.62	16384	108	nan	-	composite(saw+cubic, non-single-periodic)
drone1_gn1_44100_t50	drone1_gn1	44100	0	289.41	-0.10	-4.58	16384	108	nan	-	composite(saw+cubic, non-single-periodic)
drone1_gn1_44100_t80	drone1_gn1	44100	0	289.44	-0.10	-4.52	16384	108	nan	-	composite(saw+cubic, non-single-periodic)
drone1_gn1_48000_t20	drone1_gn1	48000	0	289.45	-0.10	-4.73	16384	99	nan	-	composite(saw+cubic, non-single-periodic)
drone1_gn1_48000_t50	drone1_gn1	48000	0	289.45	-0.10	-4.67	16384	99	nan	-	composite(saw+cubic, non-single-periodic)
drone1_gn1_48000_t80	drone1_gn1	48000	0	289.44	-0.10	-4.60	16384	99	nan	-	composite(saw+cubic, non-single-periodic)
drone1_gn1_88200_t20	drone1_gn1	88200	0	217.60	-0.03	-4.65	16384	40	nan	-	composite(saw+cubic, non-single-periodic)
drone1_gn1_88200_t50	drone1_gn1	88200	0	289.60	-0.11	-4.72	16384	54	nan	-	composite(saw+cubic, non-single-periodic)
drone1_gn1_88200_t80	drone1_gn1	88200	0	217.70	-0.03	-4.51	16384	40	nan	-	composite(saw+cubic, non-single-periodic)
drone1_gn1_96000_t20	drone1_gn1	96000	0	217.00	-0.03	-4.43	16384	37	nan	-	composite(saw+cubic, non-single-periodic)
drone1_gn1_96000_t50	drone1_gn1	96000	0	300.98	-0.18	-5.52	16384	51	nan	-	composite(saw+cubic, non-single-periodic)
drone1_gn1_96000_t80	drone1_gn1	96000	0	287.50	-0.08	-4.49	16384	49	nan	-	composite(saw+cubic, non-single-periodic)
wet_chain_44100	wet_chain	44100	0	220.03	-3.61	-5.97	15435	77	0.0001	-	composite(kVcfPath, not single-module)
wet_chain_48000	wet_chain	48000	0	219.99	-3.57	-6.35	14400	66	0.0000	-	composite(kVcfPath, not single-module)
wet_chain_88200	wet_chain	88200	0	220.08	-4.01	-5.54	16384	41	nan	-	composite(kVcfPath, not single-module)
wet_chain_96000	wet_chain	96000	0	219.94	-4.30	-5.39	14400	33	0.0003	-	composite(kVcfPath, not single-module)

(run with --check to run the negative-control gate)
