sr	candidate	norm	peakA	rmsA	peakB	rmsB
44100	equal	0.0000	0.499546485	0.292840203	0.499956191	0.346349624
44100	equal	0.0250	0.399637188	0.234272163	0.399923587	0.262961292
44100	equal	0.0500	0.299727891	0.175704122	0.299979564	0.188380050
44100	equal	0.0750	0.199818594	0.117136081	0.199632186	0.121125195
44100	equal	0.1000	0.099909297	0.058568041	0.099927652	0.059134575
44100	equal	0.1250	0.000000000	0.000000000	0.000000000	0.000000000
44100	equal	0.1500	0.099909297	0.058568041	0.099800651	0.058888287
44100	equal	0.1750	0.199818594	0.117136081	0.199746822	0.120163211
44100	equal	0.2000	0.299727891	0.175704122	0.299838512	0.186293050
44100	equal	0.2250	0.399637188	0.234272163	0.399924278	0.259439147
44100	equal	0.2500	0.499546485	0.292840203	0.499894488	0.341383245
44100	equal	0.2750	0.449734312	0.291534053	0.449864191	0.331050831
44100	equal	0.3000	0.399922140	0.291940578	0.399984282	0.323467294
44100	equal	0.3250	0.368702854	0.294052673	0.368702923	0.318373135
44100	equal	0.3500	0.373263298	0.297834057	0.373263398	0.315462475
44100	equal	0.3750	0.387775310	0.303222284	0.387775084	0.314408699
44100	equal	0.4000	0.406780392	0.310133614	0.406780216	0.314888305
44100	equal	0.4250	0.428260988	0.318468901	0.428260542	0.316602084
44100	equal	0.4500	0.451267045	0.328119643	0.451265825	0.319291796
44100	equal	0.4750	0.475281428	0.338973505	0.475278635	0.322751846
44100	equal	0.5000	0.499999873	0.350918866	0.499998946	0.326836475
44100	equal	0.5250	0.451126245	0.317530586	0.451126156	0.309913394
44100	equal	0.5500	0.405076795	0.287428747	0.405076758	0.290520343
44100	equal	0.5750	0.363109616	0.261749664	0.363109660	0.270253004
44100	equal	0.6000	0.327448222	0.241905928	0.327447539	0.251807431
44100	equal	0.6250	0.302628412	0.229416780	0.302628154	0.238615843
44100	equal	0.6500	0.301808304	0.225507493	0.301811237	0.234225980
44100	equal	0.6750	0.349391690	0.230614808	0.349428421	0.241526826
