id	sr_hz	mode	res	norm	lvl	freq_hz	channel	amp_rms	amp_peak	f0_meas_hz	noise_rms	window	ok	signal
floor_44100	44100	lp	0	0.5	0	0	wetL	0	0	0	0	16384	1	-
floor_48000	48000	lp	0	0.5	0	0	wetL	0	0	0	0	16384	1	-
floor_88200	88200	lp	0	0.5	0	0	wetL	0	0	0	0	16384	1	-
floor_96000	96000	lp	0	0.5	0	0	wetL	0	0	0	0	16384	1	-
cutoff_norm_sr44100_r0_lvlsmall_n0_f60	44100	lp	0	0	0.05	60	wetL	0.00127928615	0.00180572321	59.2163086	0.00116217997	16384	1	-
cutoff_norm_sr44100_r0_lvlmedium_n0_f60	44100	lp	0	0	0.2	60	wetL	0.00510438873	0.0072049901	59.2163086	0.00463712713	16384	1	-
cutoff_norm_sr44100_r0p5_lvlsmall_n0_f60	44100	lp	0.5	0	0.05	60	wetL	0.0014885341	0.00210638576	59.2163086	0.0020066138	16384	1	-
cutoff_norm_sr44100_r0p5_lvlmedium_n0_f60	44100	lp	0.5	0	0.2	60	wetL	0.00593929381	0.0084041522	59.2163086	0.00800644282	16384	1	-
cutoff_norm_sr44100_r1_lvlsmall_n0_f60	44100	lp	1	0	0.05	60	wetL	0.00197121097	0.00558622869	60.5621338	0.00299604151	16384	1	-
cutoff_norm_sr44100_r1_lvlmedium_n0_f60	44100	lp	1	0	0.2	60	wetL	0.00786588852	0.022291805	60.5621338	0.0119547064	16384	1	-
cutoff_norm_sr44100_r0_lvlsmall_n0_f100	44100	lp	0	0	0.05	100	wetL	0.000490688268	0.000694886422	100.93689	0.000580020703	16384	1	-
cutoff_norm_sr44100_r0_lvlmedium_n0_f100	44100	lp	0	0	0.2	100	wetL	0.00195786106	0.00277248657	100.93689	0.00231429909	16384	1	-
cutoff_norm_sr44100_r0p5_lvlsmall_n0_f100	44100	lp	0.5	0	0.05	100	wetL	0.000519030925	0.000739441977	99.5910645	0.000453478385	16384	1	-
cutoff_norm_sr44100_r0p5_lvlmedium_n0_f100	44100	lp	0.5	0	0.2	100	wetL	0.00207094918	0.00295017849	99.5910645	0.00180939139	16384	1	-
cutoff_norm_sr44100_r1_lvlsmall_n0_f100	44100	lp	1	0	0.05	100	wetL	0.000850439244	0.00237300509	83.4411621	0.000710662937	16384	1	-
cutoff_norm_sr44100_r1_lvlmedium_n0_f100	44100	lp	1	0	0.2	100	wetL	0.00339383408	0.0094699248	83.4411621	0.00283622435	16384	1	-
cutoff_norm_sr44100_r0_lvlsmall_n0_f200	44100	lp	0	0	0.05	200	wetL	0.000126611456	0.000179034647	199.182129	0.000197423688	16384	1	-
cutoff_norm_sr44100_r0_lvlmedium_n0_f200	44100	lp	0	0	0.2	200	wetL	0.000505183463	0.000714297563	199.182129	0.000787726302	16384	1	-
cutoff_norm_sr44100_r0p5_lvlsmall_n0_f200	44100	lp	0.5	0	0.05	200	wetL	0.000128280034	0.000184078371	199.182129	0.000214210819	16384	1	-
cutoff_norm_sr44100_r0p5_lvlmedium_n0_f200	44100	lp	0.5	0	0.2	200	wetL	0.000511841132	0.000734417286	199.182129	0.000854707441	16384	1	-
cutoff_norm_sr44100_r1_lvlsmall_n0_f200	44100	lp	1	0	0.05	200	wetL	0.000346963306	0.00106548736	106.32019	0.000392457227	16384	1	-
cutoff_norm_sr44100_r1_lvlmedium_n0_f200	44100	lp	1	0	0.2	200	wetL	0.00138472274	0.00425223212	106.32019	0.00156620447	16384	1	-
cutoff_norm_sr44100_r0_lvlsmall_n0_f400	44100	lp	0	0	0.05	400	wetL	3.18757171e-05	4.51411573e-05	399.710083	3.14409005e-05	16384	1	-
cutoff_norm_sr44100_r0_lvlmedium_n0_f400	44100	lp	0	0	0.2	400	wetL	0.000127185061	0.000180098717	399.710083	0.000125450131	16384	1	-
cutoff_norm_sr44100_r0p5_lvlsmall_n0_f400	44100	lp	0.5	0	0.05	400	wetL	3.19500142e-05	4.65845286e-05	399.710083	3.41195843e-05	16384	1	-
cutoff_norm_sr44100_r0p5_lvlmedium_n0_f400	44100	lp	0.5	0	0.2	400	wetL	0.000127481512	0.000185858936	399.710083	0.000136138166	16384	1	-
cutoff_norm_sr44100_r1_lvlsmall_n0_f400	44100	lp	1	0	0.05	400	wetL	0.000163482863	0.000490702934	103.62854	0.000164636617	16384	1	-
