id	sr	f0_refined	blref_full_db
vco_a_tri_44100_220	44100	220.00	-67.80
vco_a_tri_44100_440	44100	440.00	-58.81
vco_a_tri_44100_880	44100	880.00	-50.30
vco_a_tri_48000_220	48000	220.00	-68.91
vco_a_tri_48000_440	48000	440.00	-59.65
vco_a_tri_48000_880	48000	880.00	-51.09
vco_a_tri_88200_220	88200	220.00	-76.70
vco_a_tri_88200_440	88200	440.00	-67.80
vco_a_tri_88200_880	88200	879.99	-58.81
vco_a_tri_96000_220	96000	219.98	-77.83
vco_a_tri_96000_440	96000	440.00	-68.91
vco_a_tri_96000_880	96000	880.00	-59.65
vco_b_tri_44100_220	44100	220.00	-67.80
vco_b_tri_44100_440	44100	440.00	-58.81
vco_b_tri_44100_880	44100	880.00	-50.30
vco_b_tri_48000_220	48000	220.00	-68.91
vco_b_tri_48000_440	48000	440.00	-59.65
vco_b_tri_48000_880	48000	880.00	-51.09
vco_b_tri_88200_220	88200	220.00	-76.70
vco_b_tri_88200_440	88200	440.00	-67.80
vco_b_tri_88200_880	88200	879.99	-58.81
vco_b_tri_96000_220	96000	219.98	-77.83
vco_b_tri_96000_440	96000	440.00	-68.91
vco_b_tri_96000_880	96000	880.00	-59.65
