id	group	sr	mode	res	norm	norm_label	lvl	freq	channel	required
floor_44100	floor	44100	lp	0	0.5	-	0	0	wetL	1
floor_48000	floor	48000	lp	0	0.5	-	0	0	wetL	1
floor_88200	floor	88200	lp	0	0.5	-	0	0	wetL	1
floor_96000	floor	96000	lp	0	0.5	-	0	0	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0_f60	cutoff_norm	44100	bp	0	0.00	0	0.05	60	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0_f60	cutoff_norm	44100	bp	0	0.00	0	0.2	60	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0_f60	cutoff_norm	44100	bp	0.5	0.00	0	0.05	60	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0_f60	cutoff_norm	44100	bp	0.5	0.00	0	0.2	60	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0_f60	cutoff_norm	44100	bp	1	0.00	0	0.05	60	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0_f60	cutoff_norm	44100	bp	1	0.00	0	0.2	60	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0_f100	cutoff_norm	44100	bp	0	0.00	0	0.05	100	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0_f100	cutoff_norm	44100	bp	0	0.00	0	0.2	100	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0_f100	cutoff_norm	44100	bp	0.5	0.00	0	0.05	100	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0_f100	cutoff_norm	44100	bp	0.5	0.00	0	0.2	100	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0_f100	cutoff_norm	44100	bp	1	0.00	0	0.05	100	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0_f100	cutoff_norm	44100	bp	1	0.00	0	0.2	100	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0_f200	cutoff_norm	44100	bp	0	0.00	0	0.05	200	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0_f200	cutoff_norm	44100	bp	0	0.00	0	0.2	200	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0_f200	cutoff_norm	44100	bp	0.5	0.00	0	0.05	200	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0_f200	cutoff_norm	44100	bp	0.5	0.00	0	0.2	200	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0_f200	cutoff_norm	44100	bp	1	0.00	0	0.05	200	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0_f200	cutoff_norm	44100	bp	1	0.00	0	0.2	200	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0_f400	cutoff_norm	44100	bp	0	0.00	0	0.05	400	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0_f400	cutoff_norm	44100	bp	0	0.00	0	0.2	400	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0_f400	cutoff_norm	44100	bp	0.5	0.00	0	0.05	400	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0_f400	cutoff_norm	44100	bp	0.5	0.00	0	0.2	400	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0_f400	cutoff_norm	44100	bp	1	0.00	0	0.05	400	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0_f400	cutoff_norm	44100	bp	1	0.00	0	0.2	400	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0_f800	cutoff_norm	44100	bp	0	0.00	0	0.05	800	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0_f800	cutoff_norm	44100	bp	0	0.00	0	0.2	800	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0_f800	cutoff_norm	44100	bp	0.5	0.00	0	0.05	800	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0_f800	cutoff_norm	44100	bp	0.5	0.00	0	0.2	800	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0_f800	cutoff_norm	44100	bp	1	0.00	0	0.05	800	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0_f800	cutoff_norm	44100	bp	1	0.00	0	0.2	800	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0_f1200	cutoff_norm	44100	bp	0	0.00	0	0.05	1200	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0_f1200	cutoff_norm	44100	bp	0	0.00	0	0.2	1200	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0_f1200	cutoff_norm	44100	bp	0.5	0.00	0	0.05	1200	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0_f1200	cutoff_norm	44100	bp	0.5	0.00	0	0.2	1200	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0_f1200	cutoff_norm	44100	bp	1	0.00	0	0.05	1200	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0_f1200	cutoff_norm	44100	bp	1	0.00	0	0.2	1200	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0_f1600	cutoff_norm	44100	bp	0	0.00	0	0.05	1600	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0_f1600	cutoff_norm	44100	bp	0	0.00	0	0.2	1600	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0_f1600	cutoff_norm	44100	bp	0.5	0.00	0	0.05	1600	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0_f1600	cutoff_norm	44100	bp	0.5	0.00	0	0.2	1600	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0_f1600	cutoff_norm	44100	bp	1	0.00	0	0.05	1600	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0_f1600	cutoff_norm	44100	bp	1	0.00	0	0.2	1600	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0_f2500	cutoff_norm	44100	bp	0	0.00	0	0.05	2500	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0_f2500	cutoff_norm	44100	bp	0	0.00	0	0.2	2500	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0_f2500	cutoff_norm	44100	bp	0.5	0.00	0	0.05	2500	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0_f2500	cutoff_norm	44100	bp	0.5	0.00	0	0.2	2500	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0_f2500	cutoff_norm	44100	bp	1	0.00	0	0.05	2500	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0_f2500	cutoff_norm	44100	bp	1	0.00	0	0.2	2500	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0_f3500	cutoff_norm	44100	bp	0	0.00	0	0.05	3500	wetL	1
